Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760994.872838,40,1,0,0,1,0,0,65.0
1785760994.888958,40,1,0,0,1,0,0,65.0
1785760994.903822,40,1,0,0,1,0,0,65.0
1785760994.918797,40,1,0,0,1,0,0,65.0
1785760994.933791,40,1,0,0,1,0,0,65.0
1785760994.948878,40,1,0,0,1,0,0,65.0
1785760994.963624,40,1,0,0,1,0,0,65.0
1785760994.978311,40,1,0,0,1,0,0,65.0
1785760994.993815,40,1,0,0,1,0,0,65.0
1785760995.009793,40,1,0,0,1,0,0,65.0
1785760995.024973,40,1,0,0,1,0,0,65.0
1785760995.039937,40,1,0,0,1,0,0,65.0
1785760995.055951,40,1,0,0,1,0,0,65.0
1785760995.070825,40,1,0,0,1,0,0,65.0
1785760995.085818,40,1,0,0,1,0,0,65.0
1785760995.100020,40,1,0,0,1,0,0,65.0
1785760995.115142,40,1,0,0,1,0,0,65.0
1785760995.130378,40,1,0,0,1,0,0,66.0
1785760995.145560,40,1,0,0,1,0,0,66.0
1785760995.160448,40,1,0,0,1,0,0,66.0
1785760995.175792,40,1,0,0,1,0,0,66.0
1785760995.190813,40,1,0,0,1,0,0,67.0
1785760995.206514,40,1,0,0,1,0,0,67.0
1785760995.221461,40,1,0,0,1,0,0,67.0
1785760995.236916,40,1,0,0,1,0,0,66.0
1785760995.252257,40,1,0,0,1,0,0,66.0
1785760995.266778,40,1,0,0,1,0,0,67.0
1785760995.281874,40,1,0,0,1,0,0,67.0
1785760995.297018,40,1,0,0,1,0,0,66.0
1785760995.311412,40,1,0,0,1,0,0,67.0
1785760995.326210,40,1,0,0,1,0,0,67.0
1785760995.340426,40,1,0,0,1,0,0,67.0
1785760995.355525,40,1,0,0,1,0,0,67.0
1785760995.370830,40,1,0,0,1,0,0,67.0
1785760995.385504,40,1,0,0,1,0,0,67.0
1785760995.401050,40,1,0,0,1,0,0,67.0
1785760995.415839,40,1,0,0,1,0,0,67.0
1785760995.430512,40,1,0,0,1,0,0,67.0
1785760995.445798,40,1,0,0,1,0,0,67.0
1785760995.460798,40,1,0,0,1,0,0,67.0
1785760995.475997,40,1,0,0,1,0,0,67.0
1785760995.490777,40,1,0,0,1,0,0,67.0
1785760995.505628,40,1,0,0,1,0,0,67.0
1785760995.521041,40,1,0,0,1,0,0,67.0
1785760995.535804,40,1,0,0,1,0,0,67.0
1785760995.551048,40,1,0,0,1,0,0,67.0
1785760995.565789,40,1,0,0,1,0,0,67.0
1785760995.581047,40,1,0,0,1,0,0,67.0
1785760995.596617,40,1,0,0,1,0,0,67.0
1785760995.611917,40,1,0,0,1,0,0,67.0
1785760995.628178,40,1,0,0,1,0,0,67.0
1785760995.643887,40,1,0,0,1,0,0,67.0
1785760995.659036,40,1,0,0,1,0,0,67.0
1785760995.674811,40,1,0,0,1,0,0,66.0
1785760995.689790,40,1,0,0,1,0,0,67.0
1785760995.704565,40,1,0,0,1,0,0,67.0
1785760995.719716,40,1,0,0,1,0,0,67.0
1785760995.734542,40,1,0,0,1,0,0,67.0
1785760995.749759,40,1,0,0,1,0,0,67.0
1785760995.765363,40,1,0,0,1,0,0,67.0
1785760995.781237,40,1,0,0,1,0,0,66.0
1785760995.796882,40,1,0,0,1,0,0,66.0
1785760995.811992,40,1,0,0,1,0,0,66.0
1785760995.827717,40,1,0,0,1,0,0,66.0
1785760995.842459,40,1,0,0,1,0,0,66.0
1785760995.858003,40,1,0,0,1,0,0,66.0
1785760995.873105,40,1,0,0,1,0,0,66.0
1785760995.888499,40,1,0,0,1,0,0,67.0
1785760995.904121,40,1,0,0,1,0,0,66.0
1785760995.919725,40,1,0,0,1,0,0,66.0
1785760995.934891,40,1,0,0,1,0,0,66.0
1785760995.951123,40,1,0,0,1,0,0,66.0
1785760995.967141,40,1,0,0,1,0,0,66.0
1785760995.982724,40,1,0,0,1,0,0,66.0
1785760995.997692,40,1,0,0,1,0,0,66.0
1785760995.998150,40,1,0,0,1,0,0,67.0
1785760996.013841,40,1,0,0,1,0,0,67.0
1785760996.029939,40,1,0,0,1,0,0,67.0
1785760996.045880,40,1,0,0,1,0,0,67.0
1785760996.060875,40,1,0,0,1,0,0,67.0
1785760996.075906,40,1,0,0,1,0,0,67.0
1785760996.091179,40,1,0,0,1,0,0,67.0
1785760996.106774,40,1,0,0,1,0,0,67.0
1785760996.122268,40,1,0,0,1,0,0,67.0
1785760996.138031,40,1,0,0,1,0,0,67.0
1785760996.152942,40,1,0,0,1,0,0,67.0
1785760996.167826,40,1,0,0,1,0,0,67.0
1785760996.183043,40,1,0,0,1,0,0,67.0
1785760996.197950,40,1,0,0,1,0,0,67.0
1785760996.212835,40,1,0,0,1,0,0,67.0
1785760996.228781,40,1,0,0,1,0,0,67.0
1785760996.243993,40,1,0,0,1,0,0,67.0
1785760996.258754,40,1,0,0,1,0,0,67.0
1785760996.273385,40,1,0,0,1,0,0,67.0
1785760996.289403,40,1,0,0,1,0,0,67.0
1785760996.304181,40,1,0,0,1,0,0,67.0
1785760996.319910,40,1,0,0,1,0,0,67.0
1785760996.334551,40,1,0,0,1,0,0,67.0
1785760996.350045,40,1,0,0,1,0,0,67.0
1785760996.365878,40,1,0,0,1,0,0,67.0
1785760996.381799,40,1,0,0,1,0,0,67.0
1785760996.396836,40,1,0,0,1,0,0,67.0
1785760996.411786,40,1,0,0,1,0,0,67.0
1785760996.427787,40,1,0,0,1,0,0,67.0
1785760996.442908,40,1,0,0,1,0,0,67.0
1785760996.457759,40,1,0,0,1,0,0,67.0
1785760996.472631,40,1,0,0,1,0,0,67.0
1785760996.487626,40,1,0,0,1,0,0,67.0
1785760996.503069,40,1,0,0,1,0,0,67.0
1785760996.517685,40,1,0,0,1,0,0,67.0
1785760996.532628,40,1,0,0,1,0,0,67.0
1785760996.548008,40,1,0,0,1,0,0,67.0
1785760996.563827,40,1,0,0,1,0,0,67.0
1785760996.578774,40,1,0,0,1,0,0,67.0
1785760996.594867,40,1,0,0,1,0,0,67.0
1785760996.610883,40,1,0,0,1,0,0,67.0
1785760996.626787,40,1,0,0,1,0,0,67.0
1785760996.641063,40,1,0,0,1,0,0,67.0
1785760996.655438,40,1,0,0,1,0,0,67.0
1785760996.671113,40,1,0,0,1,0,0,67.0
1785760996.686167,40,1,0,0,1,0,0,67.0
1785760996.701151,40,1,0,0,1,0,0,67.0
1785760996.716754,40,1,0,0,1,0,0,67.0
1785760996.731824,40,1,0,0,1,0,0,67.0
1785760996.732177,40,1,0,0,1,0,0,68.0
1785760996.747241,40,1,0,0,1,0,0,68.0
